promo_id,description,group,mix_non_mix,satuan,varian,qty_min,potongan
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,1,2300
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,3,2750
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,6,3000
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,10,3500
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,25,4250
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,50,4750
0309/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,100,5000
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,0.5,2300
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,1,2300
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,2,2750
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,6,3000
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,10,3500
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,25,4250
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,50,4750
0312/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,100,5000
0286/SLS-JST/11/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,0.5,2300
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,1,2300
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,3,2750
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,6,3000
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,10,3500
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,25,4250
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,50,4750
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,100,5000
0314/SLS-JST/12/25,Potongan Strata WFR-E02K,WFR-E02K,mix,unit_1,1,300,5300
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,1,2300
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,2,4600
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,3,5500
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,6,6000
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,10,7000
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,25,8500
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,50,9500
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,100,10000
0315/SLS-JST/12/25,Potongan Strata WFR-E05K,WFR-E05K,mix,unit_1,1,500,10600
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,1,2300
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,2,2750
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,6,3000
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,10,3500
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,25,4250
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,50,4750
0316/SLS-JST/12/25,Potongan Strata ROL-E500,ROL-E500,mix,unit_1,1,100,5000
0317/SLS-JST/12/25,Potongan Strata ROL-E01K,ROL-E01K,mix,unit_1,1,2,2750
0317/SLS-JST/12/25,Potongan Strata ROL-E01K,ROL-E01K,mix,unit_1,1,6,3000
0317/SLS-JST/12/25,Potongan Strata ROL-E01K,ROL-E01K,mix,unit_1,1,10,3500
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,1,2300
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,3,2750
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,6,3000
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,10,3500
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,25,4250
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,50,4750
0306/SLS-JST/12/25,Potongan Strata NEXTAR,NEXTAR,mix,unit_1,1,100,5000
0290/SLS-JST/12/25,Potongan Strata NXT-E02K,NXT-E02K,mix,unit_1,1,1,1000
0290/SLS-JST/12/25,Potongan Strata NXT-E02K,NXT-E02K,mix,unit_1,1,4,1250
0290/SLS-JST/12/25,Potongan Strata NXT-E02K,NXT-E02K,mix,unit_1,1,10,1500
0290/SLS-JST/12/25,Potongan Strata NXT-E02K,NXT-E02K,mix,unit_1,1,25,2000
0290/SLS-JST/12/25,Potongan Strata NXT-E02K,NXT-E02K,mix,unit_1,1,50,2500
0290/SLS-JST/12/25,Potongan Strata NXT-E02K,NXT-E02K,mix,unit_1,1,100,3000
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,1,3500
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,3,5000
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,6,5500
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,10,6000
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,25,6250
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,50,6500
0340/SLS-JST/12/25,Potongan Strata WFR-SIP-500,WFR-SIP-500,mix,unit_1,1,100,6750
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,1,3500
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,2,5000
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,6,5500
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,10,6000
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,25,6250
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,50,6500
0341/SLS-JST/12/25,Potongan Strata WFR-E01K,WFR-E01K,mix,unit_1,1,100,6750
